K,u-g,g-r,u-z,u-K,Mv,CL,Typ,Teff,logg,Pop,Age,Mass,Mbol,Radius,[M/H],[a/Fe],longitude,latitude,RAJ2000,DECJ2000,Dist,x_Gal,y_Gal,z_Gal,Av,errMv,errMass,errAge,errTeff,errLogg,errMet,errAlphaFe,errBand_K,errBand_u,errBand_g,errBand_r,errBand_z
16.461,3.13,1.406,6.269,8.487,11.68,5,7.3,3451.0,4.8,7,8.3635,0.412,9.874,0.273,-0.24,0.015,209.089035,-19.413448,83.825928,-5.468852,0.6296,-8.5189,-0.2887,-0.1943,0.26,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.034,0.0334,-0.0324,0.0023,0.0335
16.416,2.986,1.444,6.074,8.153,11.49,5,7.25,3382.0,4.98,4,2.5416,0.398,9.783,0.279,-0.279,0.009,208.90712,-19.465399,83.701431,-5.339356,0.6299,-8.5199,-0.2871,-0.1949,0.204,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0048,0.0279,-0.0136,-0.0213,-0.0048
12.856,2.626,1.074,4.222,6.149,6.98,5,6.5,4513.0,4.6,3,1.4926,0.819,6.435,0.747,0.009,0.037,208.9487,-19.403955,83.774292,-5.34651,0.6276,-8.518,-0.2865,-0.1935,0.231,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0101,-0.0058,-0.0016,-0.0428,0.0232
18.983,3.223,1.538,7.141,9.277,14.74,5,7.5,3079.0,5.32,5,4.0143,0.052,11.909,0.13,-0.041,0.001,208.950089,-19.363552,83.811096,-5.329395,0.6542,-8.5401,-0.2987,-0.2019,0.245,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0129,0.0265,0.0118,-0.0234,0.0031
17.655,3.053,1.48,6.623,8.72,13.08,5,7.4,3214.0,4.9,2,0.1778,0.208,10.748,0.206,-0.165,0.049,208.966522,-19.436626,83.752686,-5.376287,0.6598,-8.5444,-0.3013,-0.2046,0.208,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0232,-0.0103,-0.0066,-0.0094,0.0126
15.251,2.822,1.417,5.56,7.646,9.88,5,7.15,3695.0,5.09,5,3.8538,0.485,8.853,0.372,-0.372,0.035,208.939056,-19.444284,83.734047,-5.356652,0.6476,-8.5344,-0.2955,-0.2006,0.264,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0393,0.0111,0.0022,-2.0E-4,-0.0197
19.094,3.176,1.557,7.131,9.239,14.76,5,7.5,3142.0,5.15,3,1.4899,0.142,11.909,0.13,0.107,0.012,209.010376,-19.340572,83.857513,-5.369717,0.6702,-8.553,-0.3067,-0.207,0.263,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0142,-0.0184,0.0352,-0.0085,-0.0013
18.891,3.225,1.561,7.02,9.132,14.44,5,7.45,3130.0,5.02,5,4.0157,0.128,11.61,0.147,-0.142,0.061,208.97583,-19.394203,83.794647,-5.364916,0.6788,-8.5601,-0.3102,-0.2104,0.23,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.002,4.0E-4,0.0038,-0.0423,0.0231
18.594,3.182,1.5,7.017,9.127,14.15,5,7.45,3152.0,5.03,5,3.9435,0.112,11.536,0.151,-0.05,0.019,209.03038,-19.310703,83.892838,-5.373048,0.6785,-8.5599,-0.3107,-0.2094,0.278,0.0,0.1,0.1,50.0,0.1,0.1,0.02,0.0275,0.0185,-0.001,-5.0E-4,0.0149
18.482,3.128,1.509,6.94,9.057,14.04,5,7.45,3209.0,5.14,5,4.1225,0.261,11.388,0.16,0.138,-0.023,208.935379,-19.414543,83.759102,-5.340101,0.6746,-8.5568,-0.3078,-0.2092,0.275,0.0,0.1,0.1,50.0,0.1,0.1,0.02,-0.0016,-0.0168,-0.0061,-0.0204,-0.0033
